Package Name,Version,License,Source URL
@babel/code-frame,7.12.11,MIT,https://github.com/babel/babel.git
@babel/highlight,7.10.4,MIT,https://github.com/babel/babel.git
@babel/code-frame,7.16.7,MIT,https://github.com/babel/babel.git
@babel/highlight,7.16.10,MIT,https://github.com/babel/babel.git
@babel/compat-data,7.11.0,MIT,https://github.com/babel/babel.git
browserslist,4.14.0,MIT,browserslist/browserslist
invariant,2.2.4,MIT,https://github.com/zertosh/invariant
semver,5.7.1,ISC,https://github.com/npm/node-semver
@babel/core,7.11.1,MIT,https://github.com/babel/babel.git
@babel/generator,7.11.0,MIT,https://github.com/babel/babel.git
@babel/helper-module-transforms,7.11.0,MIT,https://github.com/babel/babel.git
@babel/helpers,7.10.4,MIT,https://github.com/babel/babel.git
@babel/parser,7.11.3,MIT,https://github.com/babel/babel.git
@babel/template,7.10.4,MIT,https://github.com/babel/babel.git
@babel/traverse,7.11.0,MIT,https://github.com/babel/babel.git
@babel/types,7.11.0,MIT,https://github.com/babel/babel.git
convert-source-map,1.7.0,MIT,git://github.com/thlorenz/convert-source-map.git
debug,4.1.1,MIT,git://github.com/visionmedia/debug.git
gensync,1.0.0-beta.1,MIT,https://github.com/loganfsmyth/gensync
json5,2.1.3,MIT,git+https://github.com/json5/json5.git
lodash,4.17.19,MIT,lodash/lodash
resolve,1.17.0,MIT,git://github.com/browserify/resolve.git
source-map,0.5.7,BSD-3-Clause,http://github.com/mozilla/source-map.git
jsesc,2.5.2,MIT,https://github.com/mathiasbynens/jsesc.git
@babel/generator,7.17.7,MIT,https://github.com/babel/babel.git
@babel/types,7.17.0,MIT,https://github.com/babel/babel.git
@babel/helper-annotate-as-pure,7.10.4,MIT,https://github.com/babel/babel.git
@babel/helper-annotate-as-pure,7.16.7,MIT,https://github.com/babel/babel.git
@babel/helper-builder-binary-assignment-operator-visitor,7.10.4,MIT,https://github.com/babel/babel.git
@babel/helper-explode-assignable-expression,7.10.4,MIT,https://github.com/babel/babel.git
@babel/helper-compilation-targets,7.10.4,MIT,https://github.com/babel/babel.git
levenary,1.1.1,MIT,tanhauhau/levenary
@babel/helper-create-class-features-plugin,7.10.5,MIT,https://github.com/babel/babel.git
@babel/helper-function-name,7.10.4,MIT,https://github.com/babel/babel.git
@babel/helper-member-expression-to-functions,7.11.0,MIT,https://github.com/babel/babel.git
@babel/helper-optimise-call-expression,7.10.4,MIT,https://github.com/babel/babel.git
@babel/helper-plugin-utils,7.16.7,MIT,https://github.com/babel/babel.git
@babel/helper-replace-supers,7.10.4,MIT,https://github.com/babel/babel.git
@babel/helper-split-export-declaration,7.11.0,MIT,https://github.com/babel/babel.git
@babel/helper-create-class-features-plugin,7.17.6,MIT,https://github.com/babel/babel.git
@babel/helper-environment-visitor,7.16.7,MIT,https://github.com/babel/babel.git
@babel/helper-function-name,7.16.7,MIT,https://github.com/babel/babel.git
@babel/helper-member-expression-to-functions,7.17.7,MIT,https://github.com/babel/babel.git
@babel/helper-optimise-call-expression,7.16.7,MIT,https://github.com/babel/babel.git
@babel/helper-replace-supers,7.16.7,MIT,https://github.com/babel/babel.git
@babel/helper-split-export-declaration,7.16.7,MIT,https://github.com/babel/babel.git
@babel/helper-create-regexp-features-plugin,7.10.4,MIT,https://github.com/babel/babel.git
@babel/helper-regex,7.10.5,MIT,https://github.com/babel/babel.git
regexpu-core,4.7.0,MIT,https://github.com/mathiasbynens/regexpu-core.git
@babel/helper-define-map,7.10.5,MIT,https://github.com/babel/babel.git
@babel/helper-get-function-arity,7.10.4,MIT,https://github.com/babel/babel.git
@babel/helper-get-function-arity,7.16.7,MIT,https://github.com/babel/babel.git
@babel/template,7.16.7,MIT,https://github.com/babel/babel.git
@babel/helper-hoist-variables,7.10.4,MIT,https://github.com/babel/babel.git
@babel/helper-hoist-variables,7.16.7,MIT,https://github.com/babel/babel.git
@babel/helper-module-imports,7.10.4,MIT,https://github.com/babel/babel.git
@babel/helper-simple-access,7.10.4,MIT,https://github.com/babel/babel.git
@babel/helper-plugin-utils,7.10.4,MIT,https://github.com/babel/babel.git
@babel/helper-remap-async-to-generator,7.10.4,MIT,https://github.com/babel/babel.git
@babel/helper-wrap-function,7.10.4,MIT,https://github.com/babel/babel.git
@babel/traverse,7.17.3,MIT,https://github.com/babel/babel.git
@babel/helper-skip-transparent-expression-wrappers,7.11.0,MIT,https://github.com/babel/babel.git
@babel/helper-validator-identifier,7.10.4,MIT,https://github.com/babel/babel.git
@babel/helper-validator-identifier,7.16.7,MIT,https://github.com/babel/babel.git
chalk,2.4.2,MIT,chalk/chalk
js-tokens,4.0.0,MIT,lydell/js-tokens
@babel/parser,7.17.8,MIT,https://github.com/babel/babel.git
@babel/plugin-proposal-async-generator-functions,7.10.5,MIT,https://github.com/babel/babel.git
@babel/plugin-syntax-async-generators,7.8.4,MIT,https://github.com/babel/babel/tree/master/packages/babel-plugin-syntax-async-generators
@babel/plugin-proposal-class-properties,7.10.4,MIT,https://github.com/babel/babel.git
@babel/plugin-proposal-dynamic-import,7.10.4,MIT,https://github.com/babel/babel.git
@babel/plugin-syntax-dynamic-import,7.8.3,MIT,https://github.com/babel/babel/tree/master/packages/babel-plugin-syntax-dynamic-import
@babel/plugin-proposal-export-namespace-from,7.10.4,MIT,https://github.com/babel/babel.git
@babel/plugin-syntax-export-namespace-from,7.8.3,MIT,https://github.com/babel/babel/tree/master/packages/babel-plugin-syntax-export-namespace-from
@babel/plugin-proposal-json-strings,7.10.4,MIT,https://github.com/babel/babel.git
@babel/plugin-syntax-json-strings,7.8.3,MIT,https://github.com/babel/babel/tree/master/packages/babel-plugin-syntax-json-strings
@babel/plugin-proposal-logical-assignment-operators,7.11.0,MIT,https://github.com/babel/babel.git
